List Price,Address,,,City,Tax ID,,,,,,,,,,Yr Built,,,,,,,,,SF Total,SF Up+Mn,SF Source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O/Price,Close Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475000,9442 N TIOGA AVE,,,Portland,R245620,,,,,,,,,,1972,,,,,,,,,1200,960,Tax Record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475000,450000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429900,9757 N Hodge AVE,,,Portland,Not Found,,,,,,,,,,2022,,,,,,,,,1577,1577,plans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429900,420000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
619900,6743 N VILLARD AVE,,,Portland,R106736,,,,,,,,,,1907,,,,,,,,,2447,1647,Trio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650000,619000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439000,8806 N DWIGHT AVE,,,Portland,R587573,,,,,,,,,,2008,,,,,,,,,1621,1621,TRIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479000,437160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599950,8035 N LOMBARD WAY,,,Portland,R709858,,,,,,,,,,2022,,,,,,,,,2266,2266,Builder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,629950,585000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
639000,8615 N VAN HOUTEN AVE,,,Portland,R248844,,,,,,,,,,1957,,,,,,,,,2420,1210,trio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,639000,625000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234250,4475 N TRENTON ST,,,Portland,R638363,,,,,,,,,,2011,,,,,,,,,1423,1423,RMLS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234250,234250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615000,9438 N PORTSMOUTH AVE,,,Portland,R137358,,,,,,,,,,1940,,,,,,,,,2106,1252,City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,679000,615000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475000,8315 N FOSS AVE,,,Portland,R292592,,,,,,,,,,1944,,,,,,,,,1434,794,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549900,465000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429000,8508 N GILBERT AVE,,,Portland,R126322,,,,,,,,,,1963,,,,,,,,,912,912,Trio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439000,397000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
819900,6961 N STANFORD AVE,,,Portland,R291830,,,,,,,,,,2022,,,,,,,,,2563,1878,Plans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,799900,757000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430000,9752 N HODGE AVE,,,Portland,R688213,,,,,,,,,,2022,,,,,,,,,1577,1577,plans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430000,430000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
675000,7665 N FOWLER AVE,,,Portland,R266079,,,,,,,,,,1927,,,,,,,,,2276,1676,pdxmaps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,675000,680000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249900,8712 N DECATUR ST,,,Portland,R598321,,,,,,,,,,2007,,,,,,,,,630,630,Trio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249900,248000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499900,9463 N RICHMOND AVE,,,Portland,R245124,,,,,,,,,,1964,,,,,,,,,2016,1008,RMLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499900,499900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420000,9251 N WALL AVE,,,Portland,R174986,,,,,,,,,,1964,,,,,,,,,1824,912,Trio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499900,428000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399900,8000 N FOWLER AVE,,,Portland,R292753,,,,,,,,,,1952,,,,,,,,,1960,1960,county,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399900,389000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
